mês de desembaraço;código ua local de despacho;nome ua local de despacho;quantidade de declaração de exportação;quantidade de empresa exportadora;quantidade de declaração de importação;quantidade de empresa importadora
201201;117600;ALF - Aerop. Intern. J. Kubitschek (DF);102 ;8 ;398 ;67 
201201;120100;DRF - Goiânia;2 ;2 ;167 ;64 
201201;120200;DRF - Anápolis;1 ;1 ;396 ;28 
201201;130100;DRF - Cuiabá;;;73 ;38 
201201;130151;IRF - Cáceres;11 ;1 ;35 ;9 
201201;140100;DRF - Campo Grande;9 ;1 ;5 ;2 
201201;145100;IRF - Mundo Novo;9 ;4 ;42 ;13 
201201;145200;IRF - Corumbá;313 ;76 ;79 ;34 
201201;145300;IRF - Ponta Porã;;;45 ;16 
201201;145351;IRF - Bela Vista;;;1 ;1 
201201;210200;DRF - Santarém;65 ;12 ;1 ;1 
201201;210252;IRF - Almeirim;5 ;2 ;1 ;1 
201201;217600;ALF - Porto de Belém (PA);226 ;56 ;104 ;40 
201201;217602;IRF - Barcarena;291 ;73 ;88 ;29 
201201;217700;ALF - Aeroporto Internac. de Belém (PA);54 ;14 ;33 ;19 
201201;227600;ALF - Porto de Manaus (AM);279 ;41 ;7.648 ;374 
201201;227700;ALF - Aerop. Intern. Eduardo Gomes (AM);297 ;30 ;5.904 ;288 
201201;230151;IRF - Brasiléia;3 ;1 ;8 ;4 
201201;230154;IRF - Assis Brasil;;;2 ;2 
201201;240100;DRF - Macapá;16 ;5 ;59 ;18 
201201;240152;IRF - Santana;1 ;1 ;;
201201;250100;DRF - Porto Velho;1 ;1 ;38 ;5 
201201;250151;IRF - Guajará-Mirim;419 ;20 ;3 ;2 
201201;260100;DRF - Boa Vista;10 ;2 ;8 ;6 
201201;260151;IRF - Pacaraima;11 ;4 ;25 ;5 
201201;260152;IRF - Bonfim;2 ;1 ;3 ;1 
201201;317600;ALF - Porto de Fortaleza (CE);299 ;66 ;171 ;83 
201201;317700;ALF - Aerop. Intern. Pinto Martins (CE);110 ;24 ;233 ;85 
201201;317800;ALF - Porto de Pecém;1.087 ;102 ;743 ;205 
201201;327600;ALF - Porto de São Luís (MA);137 ;17 ;146 ;23 
201201;330100;DRF - Teresina;;;4 ;4 
201201;410251;IRF - Petrolina;25 ;3 ;;
201201;415100;IRF - Recife;68 ;25 ;518 ;147 
201201;417700;ALF - Aerop. Intern. dos Guararapes (PE);114 ;17 ;475 ;124 
201201;417800;ALF - Porto de Suape (PE);273 ;73 ;1.576 ;352 
201201;420100;DRF - Natal;;;1 ;1 
201201;420152;IRF - Parnamirim;292 ;45 ;67 ;33 
201201;430151;IRF - Cabedelo;16 ;10 ;183 ;27 
201201;440151;IRF - Maceió;10 ;5 ;48 ;14 
201201;510552;IRF - Ilhéus;7 ;3 ;22 ;4 
201201;517600;ALF - Porto de Salvador (BA);1.351 ;127 ;1.963 ;302 
201201;517602;IRF - Aratu-Candeias;78 ;17 ;152 ;16 
201201;517700;ALF - Aerop. Int. L. E. Magalhães (BA);262 ;27 ;595 ;134 
201201;520100;DRF - Aracaju;1 ;1 ;13 ;3 
201201;610300;DRF - Governador Valadares;16 ;10 ;;
201201;610400;DRF - Juiz de Fora;;;156 ;35 
201201;610500;DRF - Uberaba;1 ;1 ;236 ;21 
201201;610600;DRF - Varginha;16 ;4 ;616 ;87 
201201;610900;DRF - Uberlândia;;;66 ;23 
201201;611201;ARF - Guaxupé;78 ;2 ;;
201201;615100;IRF - Belo Horizonte;438 ;131 ;4.969 ;623 
201201;710200;DRF - Niterói;37 ;19 ;950 ;84 
201201;710300;DRF - Nova Iguaçu;6 ;4 ;274 ;89 
201201;710500;DRF - Volta Redonda;18 ;2 ;1.148 ;33 
201201;711000;DRF - Macaé;6 ;5 ;69 ;7 
201201;715500;IRF - Macaé;;;3 ;1 
201201;717600;ALF - Porto do Rio de Janeiro (RJ);1.835 ;225 ;5.848 ;1.045 
201201;717700;ALF - Aeroporto Intern. A. C. Jobim (RJ);1.310 ;203 ;7.489 ;972 
201201;717800;ALF - Porto de Itaguaí (RJ);485 ;77 ;842 ;134 
201201;727600;ALF - Porto de Vitória (ES);1.516 ;136 ;5.361 ;423 
201201;810300;DRF - Bauru;1 ;1 ;142 ;37 
201201;810700;DRF - São José do Rio Preto;;;38 ;12 
201201;810800;DRF - Taubaté;90 ;5 ;376 ;28 
201201;810900;DRF - Ribeirão Preto;;;68 ;24 
201201;811000;DRF - Sorocaba;77 ;11 ;1.997 ;220 
201201;811200;DRF - Limeira;2 ;2 ;3 ;1 
201201;812000;DRF - São José dos Campos;59 ;7 ;1.191 ;56 
201201;812051;IRF - São Sebastião;58 ;7 ;70 ;20 
201201;812300;DRF - Franca;;;1 ;
201201;812400;DRF - Jundiaí;;;4 ;3 
201201;812500;DRF - Piracicaba;;;67 ;4 
201201;815500;IRF - São Paulo;;;2 ;1 
201201;817600;ALF - Aerop. Internac. de São Paulo (SP);3.795 ;681 ;21.691 ;3.645 
201201;817700;ALF - Aerop. Internac. de Viracopos (SP);3.219 ;490 ;28.171 ;2.829 
201201;817800;ALF - Porto de Santos (SP);9.325 ;1.066 ;35.351 ;5.837 
201201;817900;ALF - São Paulo;551 ;108 ;11.393 ;1.501 
201201;910200;DRF - Londrina;;;2 ;2 
201201;910300;DRF - Cascavel;;;2 ;2 
201201;910500;DRF - Maringá;7 ;2 ;246 ;84 
201201;910600;DRF - Foz do Iguaçu;308 ;97 ;2.248 ;413 
201201;910651;IRF - Guaíra;;;31 ;13 
201201;910652;IRF - Santa Helena;;;29 ;9 
201201;915200;IRF - Curitiba;805 ;142 ;6.942 ;896 
201201;917800;ALF - Porto de Paranaguá;2.187 ;212 ;7.125 ;1.084 
201201;920200;DRF - Joinville;2 ;2 ;693 ;124 
201201;920351;IRF - Dionísio Cerqueira;70 ;17 ;845 ;92 
201201;920600;DRF - Itajaí;;;2 ;2 
201201;925200;IRF - Florianópolis;71 ;5 ;286 ;114 
201201;925251;IRF - Imbituba;35 ;11 ;55 ;26 
201201;927700;ALF - Porto de São Francisco do Sul (SC);717 ;140 ;1.181 ;213 
201201;927800;ALF - Porto de Itajaí;2.752 ;296 ;9.869 ;1.023 
201201;1010200;DRF - Pelotas;;;6 ;4 
201201;1010252;IRF - Jaguarão;67 ;32 ;322 ;107 
201201;1010253;IRF - Bagé;1 ;1 ;14 ;5 
201201;1010600;DRF - Caxias do Sul;45 ;6 ;710 ;288 
201201;1010700;DRF - Novo Hamburgo;67 ;40 ;1.688 ;377 
201201;1010852;IRF - Porto Xavier;8 ;3 ;144 ;24 
201201;1010900;DRF - Uruguaiana;3.339 ;488 ;3.158 ;562 
201201;1010951;IRF - Itaqui;10 ;5 ;52 ;22 
201201;1010953;IRF - São Borja;1.091 ;48 ;1.591 ;152 
201201;1010955;IRF - Quaraí;113 ;2 ;18 ;12 
201201;1011100;DRF - Santa Cruz do Sul;4 ;1 ;;
201201;1015400;IRF - Porto Alegre;809 ;254 ;855 ;206 
201201;1015500;IRF - Chuí;515 ;110 ;527 ;136 
201201;1015600;IRF - Santana do Livramento;127 ;62 ;188 ;58 
201201;1017600;ALF - Aerop. Intern. Salgado Filho (RS);1.048 ;207 ;2.108 ;489 
201201;1017700;ALF - Porto do Rio Grande;4.025 ;415 ;2.455 ;499 
