RF DESPACHO;UA LOCAL DESPACHO;;ANO DESEMB;TRIMESTRE DESEMB;CANAL;TMBDI
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20151;Verde;9,6958
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20151;Amarelo;231,0791
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20151;Vermelho;330,7844
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20152;Verde;8,1107
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20152;Amarelo;372,9707
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20152;Vermelho;356,8455
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20153;Verde;8,7673
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20153;Amarelo;218,9618
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20153;Vermelho;552,6323
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20154;Verde;9,3026
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20154;Amarelo;162,5573
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2015;20154;Vermelho;313,1072
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20161;Verde;10,7761
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20161;Amarelo;235,33
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20161;Vermelho;269,8776
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20162;Verde;8,8471
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20162;Amarelo;249,7021
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20162;Vermelho;214,8485
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20163;Verde;8,2235
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20163;Amarelo;332,5145
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20163;Vermelho;376,2193
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20164;Verde;10,4454
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20164;Amarelo;799,15
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2016;20164;Vermelho;579,526
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20171;Verde;7,818
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20171;Amarelo;939,3461
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20171;Vermelho;480,138
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20172;Verde;8,536
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20172;Amarelo;267,9935
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20172;Vermelho;337,3894
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20173;Verde;9,63
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20173;Amarelo;427,4854
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20173;Vermelho;304,4324
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20174;Verde;10,7426
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20174;Amarelo;344,2772
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2017;20174;Vermelho;357,9531
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20181;Verde;11,6592
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20181;Amarelo;650,3199
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20181;Vermelho;395,8128
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20182;Verde;11,1449
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20182;Amarelo;543,0102
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20182;Vermelho;604,2933
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20183;Verde;11,0522
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20183;Amarelo;353,092
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20183;Vermelho;375,3042
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20184;Verde;10,1689
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20184;Amarelo;329,0962
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2018;20184;Vermelho;389,5091
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20191;Verde;11,3568
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20191;Amarelo;358,778
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20191;Vermelho;324,2593
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20192;Verde;9,7572
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20192;Amarelo;169,3535
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20192;Vermelho;250,9614
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20193;Verde;10,3359
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20193;Amarelo;248,7237
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20193;Vermelho;218,9996
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20194;Verde;12,2715
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20194;Amarelo;170,9357
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2019;20194;Vermelho;183,3693
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20201;Verde;13,1988
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20201;Amarelo;167,6148
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20201;Vermelho;193,839
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20202;Verde;11,506
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20202;Amarelo;173,9666
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20202;Vermelho;189,0035
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20203;Verde;12,585
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20203;Amarelo;133,7861
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20203;Vermelho;132,5268
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20204;Verde;13,2281
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20204;Amarelo;219,3826
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2020;20204;Vermelho;232,8147
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20211;Verde;9,5042
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20211;Amarelo;183,5023
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20211;Vermelho;121,3941
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20212;Verde;9,6524
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20212;Amarelo;175,0385
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20212;Vermelho;192,934
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20213;Verde;9,8928
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20213;Amarelo;153,6904
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20213;Vermelho;125,8957
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20214;Verde;7,7566
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20214;Amarelo;109,5038
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2021;20214;Vermelho;130,6898
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20221;Verde;7,8874
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20221;Amarelo;156,3597
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20221;Vermelho;132,603
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20222;Verde;8,8976
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20222;Amarelo;302,5211
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20222;Vermelho;439,1731
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20223;Verde;7,2146
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20223;Amarelo;260,4357
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20223;Vermelho;247,5308
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20224;Verde;7,0377
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20224;Amarelo;305,3603
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2022;20224;Vermelho;143,4266
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20231;Verde;7,6514
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20231;Amarelo;169,3441
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20231;Vermelho;181,9061
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20232;Verde;8,1578
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20232;Amarelo;91,6814
1ª RF;117600;ALF - Aerop. Intern. J. Kubitschek (DF);2023;20232;Vermelho;168,8905
1ª RF;120100;DRF - Goiânia;2015;20151;Verde;19,2457
1ª RF;120100;DRF - Goiânia;2015;20151;Amarelo;104,5553
1ª RF;120100;DRF - Goiânia;2015;20151;Vermelho;105,2818
1ª RF;120100;DRF - Goiânia;2015;20152;Verde;14,1586
1ª RF;120100;DRF - Goiânia;2015;20152;Amarelo;245,6643
1ª RF;120100;DRF - Goiânia;2015;20152;Vermelho;249,7384
1ª RF;120100;DRF - Goiânia;2015;20153;Verde;12,8879
1ª RF;120100;DRF - Goiânia;2015;20153;Amarelo;304,1842
1ª RF;120100;DRF - Goiânia;2015;20153;Vermelho;352,0543
1ª RF;120100;DRF - Goiânia;2015;20154;Verde;13,9576
1ª RF;120100;DRF - Goiânia;2015;20154;Amarelo;163,3085
1ª RF;120100;DRF - Goiânia;2015;20154;Vermelho;221,6266
1ª RF;120100;DRF - Goiânia;2016;20161;Verde;15,6317
1ª RF;120100;DRF - Goiânia;2016;20161;Amarelo;208,1511
1ª RF;120100;DRF - Goiânia;2016;20161;Vermelho;274,5137
1ª RF;120100;DRF - Goiânia;2016;20162;Verde;11,2487
1ª RF;120100;DRF - Goiânia;2016;20162;Amarelo;105,7095
1ª RF;120100;DRF - Goiânia;2016;20162;Vermelho;180,7652
1ª RF;120100;DRF - Goiânia;2016;20163;Verde;10,2741
1ª RF;120100;DRF - Goiânia;2016;20163;Amarelo;166,0712
1ª RF;120100;DRF - Goiânia;2016;20163;Vermelho;208,8432
1ª RF;120100;DRF - Goiânia;2016;20164;Verde;11,3338
1ª RF;120100;DRF - Goiânia;2016;20164;Amarelo;240,7731
1ª RF;120100;DRF - Goiânia;2016;20164;Vermelho;266,8828
1ª RF;120100;DRF - Goiânia;2017;20171;Verde;10,1538
1ª RF;120100;DRF - Goiânia;2017;20171;Amarelo;81,3786
1ª RF;120100;DRF - Goiânia;2017;20171;Vermelho;177,3609
1ª RF;120100;DRF - Goiânia;2017;20172;Verde;9,8566
1ª RF;120100;DRF - Goiânia;2017;20172;Amarelo;76,0975
1ª RF;120100;DRF - Goiânia;2017;20172;Vermelho;145,1786
1ª RF;120100;DRF - Goiânia;2017;20173;Verde;10,0938
1ª RF;120100;DRF - Goiânia;2017;20173;Amarelo;80,1821
1ª RF;120100;DRF - Goiânia;2017;20173;Vermelho;133,9805
1ª RF;120100;DRF - Goiânia;2017;20174;Verde;10,1264
1ª RF;120100;DRF - Goiânia;2017;20174;Amarelo;95,906
1ª RF;120100;DRF - Goiânia;2017;20174;Vermelho;197,2047
1ª RF;120100;DRF - Goiânia;2018;20181;Verde;11,4432
1ª RF;120100;DRF - Goiânia;2018;20181;Amarelo;121,0431
1ª RF;120100;DRF - Goiânia;2018;20181;Vermelho;187,706
1ª RF;120100;DRF - Goiânia;2018;20182;Verde;11,8729
1ª RF;120100;DRF - Goiânia;2018;20182;Amarelo;222,2718
1ª RF;120100;DRF - Goiânia;2018;20182;Vermelho;294,7486
1ª RF;120100;DRF - Goiânia;2018;20183;Verde;10,1083
1ª RF;120100;DRF - Goiânia;2018;20183;Amarelo;158,9034
1ª RF;120100;DRF - Goiânia;2018;20183;Vermelho;216,7067
1ª RF;120100;DRF - Goiânia;2018;20184;Verde;12,468
1ª RF;120100;DRF - Goiânia;2018;20184;Amarelo;125,0214
1ª RF;120100;DRF - Goiânia;2018;20184;Vermelho;218,3435
1ª RF;120100;DRF - Goiânia;2019;20191;Verde;10,4764
1ª RF;120100;DRF - Goiânia;2019;20191;Amarelo;59,5257
1ª RF;120100;DRF - Goiânia;2019;20191;Vermelho;225,9683
1ª RF;120100;DRF - Goiânia;2019;20192;Verde;13,7956
1ª RF;120100;DRF - Goiânia;2019;20192;Amarelo;90,1073
1ª RF;120100;DRF - Goiânia;2019;20192;Vermelho;223,6538
1ª RF;120100;DRF - Goiânia;2019;20193;Verde;11,1264
1ª RF;120100;DRF - Goiânia;2019;20193;Amarelo;81,7736
1ª RF;120100;DRF - Goiânia;2019;20193;Vermelho;185,252
1ª RF;120100;DRF - Goiânia;2019;20194;Verde;11,141
1ª RF;120100;DRF - Goiânia;2019;20194;Amarelo;175,3703
1ª RF;120100;DRF - Goiânia;2019;20194;Vermelho;278,2824
1ª RF;120100;DRF - Goiânia;2020;20201;Verde;12,0051
1ª RF;120100;DRF - Goiânia;2020;20201;Amarelo;176,3086
1ª RF;120100;DRF - Goiânia;2020;20201;Vermelho;175,0557
1ª RF;120100;DRF - Goiânia;2020;20202;Verde;9,9423
1ª RF;120100;DRF - Goiânia;2020;20202;Amarelo;96,0919
1ª RF;120100;DRF - Goiânia;2020;20202;Vermelho;139,2707
1ª RF;120100;DRF - Goiânia;2020;20203;Verde;10,3649
1ª RF;120100;DRF - Goiânia;2020;20203;Amarelo;157,0645
1ª RF;120100;DRF - Goiânia;2020;20203;Vermelho;140,2319
1ª RF;120100;DRF - Goiânia;2020;20204;Verde;11,4812
1ª RF;120100;DRF - Goiânia;2020;20204;Amarelo;91,5716
1ª RF;120100;DRF - Goiânia;2020;20204;Vermelho;94,9084
1ª RF;120100;DRF - Goiânia;2021;20211;Verde;11,0393
1ª RF;120100;DRF - Goiânia;2021;20211;Amarelo;174,0276
1ª RF;120100;DRF - Goiânia;2021;20211;Vermelho;180,8206
1ª RF;120100;DRF - Goiânia;2021;20212;Verde;10,1671
1ª RF;120100;DRF - Goiânia;2021;20212;Amarelo;86,1321
1ª RF;120100;DRF - Goiânia;2021;20212;Vermelho;164,3943
1ª RF;120100;DRF - Goiânia;2021;20213;Verde;9,5201
1ª RF;120100;DRF - Goiânia;2021;20213;Amarelo;54,8357
